Refractive Indices,Thicknesses
"1.032679628874185,2.0008296899400477,1.6608657042343518,1.3738188178952397","440.09740751763854,410.3534070778456,229.92309918796482,422.46575692896573"
"1.6800217852747457,1.8887797890375697,1.9325880196437148,1.942000402627508","435.067524113836,407.4972137115372,385.77230363227585,353.16748978878155"
"2.2681378598297615,1.8352973433369912,1.8234989490660494,1.5517888494846606","197.7973025978601,192.01804968655543,466.3261711418493,484.7364562369221"
"2.2360619488536044,1.1018532109192944,1.941946937894301,2.4344335275465214","225.61705883789028,153.91039456228853,366.8410170402912,366.49408188089"
"1.4330033388288745,2.0061841488762777,1.565725566809352,2.402033160450272","181.75197025281443,171.3832975851437,235.6380517676349,132.4228858522302"
"1.240008842221385,1.987242911518646,2.2646359517408756,2.320632730426599","455.9237001190238,181.24723076923817,381.7758538701459,169.02072189278698"
"2.0121244242807865,1.3736529810635305,1.739017550718574,1.9258880258012403","228.94024965799974,380.53887692206916,385.81059116482555,387.406718156461"
"1.1650209630440043,1.299147424508311,1.5797797004338534,1.5395558948452943","358.7929086302021,151.62433882631484,155.6483884443483,445.4165876410198"
"1.0310852605290923,1.9395405637864815,1.3764817247060535,1.7711965946477528","392.2173093585301,352.7687962305223,391.50546306020726,196.0886279833205"
"1.6833107087512793,1.6679242205157419,2.0456740870489503,1.6897748613937045","348.40901737489145,191.64752142617647,271.64547482263833,137.25386400821043"
"1.82662213653471,2.403442637434435,2.1906489926000288,1.3136975038328174","164.2141429826691,315.91749365063026,109.12050536388503,163.415118591659"
"1.9456429120739835,1.0880614644053785,1.2270413289679138,2.480860969338458","227.76705963550663,177.74130263164363,235.6196214002155,298.5768861626366"
"2.427314596576088,1.9018570206259575,1.2666947790422265,2.3792354087982606","310.3207056762725,216.65548420686025,279.2561037033534,200.1866069724056"
"2.301562549661287,1.6588619846190538,1.325375000105264,1.8021018690505208","182.57155603076765,116.81356933167808,203.54847224052924,181.6974157612402"
"1.7455089919550928,1.351040656710323,1.4122466568754712,1.035240027512132","226.7428251054796,420.47311707018173,342.81525758129385,202.2243233381214"
"1.429901280188973,1.6749401153672148,1.3680490403486036,2.3705364181169406","120.52652721527477,241.50488879193918,358.53161876247685,210.37403033226877"
"2.244263254987805,1.0214126140948758,2.2036003565693916,1.4353178493138283","326.67471964857685,303.9446802003936,178.99098117314207,497.138577181009"
"1.175772493077315,2.2200908267285504,1.916361799119683,1.9113357783020004","242.04263580074198,308.13795949833184,265.601180456734,485.3605283911327"
"2.3060815658793246,1.2427284402961756,2.334684852649442,2.106736394966285","163.71497286635903,182.78399589159923,350.0468417726423,114.25104996271847"
"1.7925052217451714,1.1103200176925534,1.5542624038624273,2.4420777791866497","348.7099073542795,485.6358167593812,367.7493719274702,198.70923294044331"
"1.811179185701326,2.3516419309003602,2.031322034980714,1.1642327580248923","117.89717537168173,175.31635601994932,152.95127197113075,109.92565897525837"
"2.0717947132849757,1.1325558274678447,1.5394258972676325,1.2119974508676672","425.2507005331873,345.25441427159996,343.77934735991084,403.4693695306425"
"2.2433784335763303,2.3434701644233793,1.3690027431468839,2.065088610106718","470.79061578141,250.9635008204174,109.59250093337873,393.36767011461427"
"1.3044375700687763,1.6146558047308441,1.3490095363135488,1.9173038918608978","166.53471107834616,384.9107949121728,112.81094891095532,314.7947725427429"
"1.2637436707113758,1.1793788042645814,2.1409728850797967,2.393742296395231","460.7814311116289,251.4095420673406,150.70304907344251,425.68959680684424"
"1.996238338964279,1.972443573841446,2.337591368191815,1.0767181099672962","400.7310243716107,282.141303369196,319.95068393178235,101.0638471315088"
"2.043718377145014,1.0118383697576752,2.041167919203994,1.5000940334094395","362.7010382685905,464.41424448557467,495.59916876037494,451.88267646166696"
"1.8144675354262407,1.700638369442435,2.305723240913691,1.3230865905691578","246.85683543734015,139.75772744853114,174.5547890665403,402.30137434555877"
"2.164897142661177,1.8027621558263829,2.261488168676428,2.001007443899893","352.29249430552113,272.1228003622587,238.70850775866717,320.362747516406"
"1.1383189766802544,1.5123960449058165,1.627127016693863,2.291247219114572","157.8236032625827,133.66371431451364,388.68820804635095,215.9730536230113"
"1.3517790194700203,1.2146787360880473,1.5547746367124757,2.0506114543867064","293.7818863906398,396.6759642020322,133.90654320549058,136.7264693363448"
"2.415585441862063,1.8770590290520155,1.5429661499548832,2.1679213280589518","132.27299414634467,292.05550933596226,358.9732326889528,452.25677881394455"
"1.3715926275931811,1.8571682042582114,2.1742822685259426,2.1099051668562074","486.3844283236242,388.69717556921256,219.12656375541394,442.9943083741833"
"1.6425055790302094,2.0720786389823953,1.4681492784918966,1.442698663151667","209.18843519610624,449.16563777198223,142.5626194059702,496.35120302767814"
"2.0906752488749003,1.0461928821790651,1.8625175329671728,2.005813788221379","280.1886903898449,132.11022194885484,462.2943447152489,351.5685724542143"
"1.9523056328395552,1.5615884969431184,2.331829420280462,1.473433258694408","278.54993292432306,197.3924340522944,146.13403685990053,373.50543562001786"
"1.6290206561271467,2.1331838742294664,2.459754089855335,1.3096892005068186","236.2731184915737,122.13142479632913,316.43305981794504,178.5192169261428"
"1.8343573250585377,1.8400535152881679,1.2363736529796228,2.3676720362351316","238.10736121460732,263.03895983002786,114.48773219364212,196.1181291553026"
"2.184107069532165,2.1346627170587142,1.2065666652781193,1.3108161646331187","222.21752238609236,253.85916698726217,116.28334112235791,491.1314757293005"
"2.4642531584810916,1.8109001207503284,1.6988308881093843,2.2755073736832525","108.01690021377101,423.94259491216326,219.17513217740722,279.8507376545068"
"1.0958552808141802,2.23662048702886,1.9970664640375213,2.1739999884631347","139.07178001034683,460.0546677291147,224.68751075494575,299.54728968456516"
"1.748962560706681,1.5619447315753514,1.7532590033085005,1.4756025127953258","377.1405929297162,230.2583988969668,218.2513982598329,330.40423314478016"
"2.230214063696712,1.914265236984727,1.4718513941120468,1.7818408080303847","467.18077330389315,459.88462240704916,486.4419832497889,112.38902687487067"
"2.382719972105594,2.2059778468394784,1.2713517545034052,1.9275100460786134","172.0951522106248,131.87408457948666,355.00448921962106,427.0851317268707"
"1.6961519460607977,1.0897205275842123,1.104306003476307,1.2759409119148106","444.4313702032398,177.4910302865377,141.09265434022052,149.28998808798664"
"1.5423460789025405,1.8375110657459164,1.251878362951331,2.1276256412366394","101.23664280579527,207.33628183369387,143.56762950296212,456.35801798905715"
"2.2832789736701224,2.376897437601142,1.9311478581007615,2.172004876194116","115.9203651750087,400.14722928024526,283.4040729411063,250.8873518430881"
"1.1185026314192263,2.44193376291653,2.0268557778100806,2.3692753735807908","128.9772829666794,432.23315246356043,488.0992474426337,385.67604217164967"
"1.5284565577089133,2.243180190734627,2.445880836734801,2.0023144274120526","419.0693212528814,379.3248013525966,271.4511776044069,253.45243872608236"
"1.1277287036958326,1.1193284038636628,2.4495680473687784,1.851420300348209","397.23617929992383,158.9989634530079,307.7781851349248,246.25837601404123"
"1.3925251113222608,2.4401900301902675,1.6983439618916463,2.3420937478854684","218.69359141060704,141.45611865424678,372.77244207717285,375.51524486397676"
"2.185004950741626,2.0413662737988503,2.4228577929434767,1.4342245054653293","395.151335056354,174.53667400952244,423.985030733056,496.4440972528755"
"1.9087502227246058,2.159459492989173,2.3773787498979377,2.1009155983123193","283.36463274242277,368.34044539554276,256.8394389375478,138.09493639338876"
"1.3861735831503126,1.1661660538323013,1.3571799891298595,1.996698549113839","254.42901532320792,429.7934960487062,100.67057544461133,115.78434170246132"
"1.2581993584610167,1.8071906682906052,2.0071356897208457,1.6820883131943143","176.05368541141547,421.6591586446166,152.60997649943465,180.64663723607302"
"1.4069708852018987,1.5297108962366532,1.2482110478177795,1.9235985880271285","325.29353762088465,349.19225467550666,186.7919102827631,181.01801579415402"
"2.1288750701753747,2.3072855888444246,2.3149849234178492,2.439054118322982","209.10280399025245,148.49800275978518,112.61894704932041,462.77932842446614"
"1.727080637341884,1.3903168341596674,1.6031575869182397,2.446239016293011","314.64883932128896,432.30145003331614,397.14191274657463,487.7226571617112"
"1.9231704920748562,1.9973631678656647,1.886355323092465,1.9503795950755731","394.01316408421013,152.20173189970575,460.29832584719713,254.53065929549038"
"2.218766138028597,1.0092417292968392,1.498652964447835,1.985228378817337","326.0474848053694,135.23722547133573,219.8283258325465,264.01579282659895"
"1.5919217344732293,1.9051031579730338,2.155722766341391,1.3822504398945754","286.8617946957112,296.93613382926793,382.88025824048026,350.7896221525507"
"1.8286662869039527,2.1925201157980205,1.0812179571325822,1.0592565681397117","117.66836360049284,132.5022317259115,281.6491130338379,235.44447196902917"
"1.70425682546461,1.0456065057132773,1.452722026633425,1.593212039739747","453.8158612852053,454.13921570420933,174.99230074336805,451.409044168029"
"1.2837032313607368,1.14803946735527,2.4217267584183695,1.933040170553328","295.3699063075293,428.48570066300493,116.2975094008489,376.3018169044224"
"2.0409923012839037,2.0359431740855256,1.0793263592389846,1.0728172731830417","478.87823577312696,211.71437113898378,288.14620125302804,120.35028321885481"
"1.526180343740582,1.4839245023816763,2.4218873495024016,1.210044270740855","467.84640375116237,101.10698417633506,343.3588903011535,255.191331215097"
"2.4901818286519726,2.0450057244262694,1.6192125382296867,2.4127937599247056","391.79963930633494,479.2316487968223,146.97317388970927,449.58429227212554"
"1.705855223471128,1.8660053321544936,1.244309051561397,1.5233521509458572","110.59655662306494,111.71296183236743,377.9113956951858,435.589295759132"
"2.1822008704795923,1.574774437808708,1.079080166941785,1.2440253557170298","318.3130901957583,169.1412153943248,197.5367227241757,218.465890581145"
"1.2223009048801214,2.067690071599742,1.7317012116260486,1.9929419271624371","336.6139705146052,119.95639178168274,232.11346942308455,461.25171488927856"
"2.36452161635164,1.7551186687561313,2.4977101357775626,1.4659707323892277","271.5651880913214,300.60905615276886,241.15076315687497,168.6695063754435"
"1.404042109854934,1.5603367852898047,2.0638067880996482,2.3892309589774463","325.0949111471329,146.9115778404217,415.8451873254868,159.95854117131245"
"1.1640040786447492,1.2680314833667803,2.2801808993619455,1.3871266297473872","257.30637698072786,193.2826415157681,311.9959213038816,102.00590730094872"
"1.7088894032150228,1.325396656697605,1.8930173034260052,1.23556468200186","130.92918444425453,462.7738239555109,214.81213855567978,352.2531310843449"
"1.5780841373560759,2.198076250199014,1.41696728357257,1.202601617664969","286.9261095176171,294.6857946841998,145.32179229647917,277.3040003812136"
"1.4691840212152838,1.1657933952784019,2.2257680919902603,2.2328035498160457","453.19350776458526,331.8564660235111,122.80730120266838,134.52184872052175"
"2.3918266154245167,2.0617650057646197,2.1580802315068395,1.120376966762834","158.90154729666696,281.1017670534334,270.5457140600826,208.48771821619204"
"1.26391930292144,1.6490776283315258,2.321195137688571,1.4355120417589036","225.784661203597,423.5793018253511,260.1360659532568,203.58235430149114"
"1.8914299212293892,1.244416948948287,1.945471821470162,1.027661186763168","362.1481410491929,162.36082233546756,428.3495649763504,101.49833149040725"
"2.185357261798072,1.8542348806936444,1.4342857492734957,1.781595185341278","268.2257711398391,306.4750742554794,459.349754717888,422.1220547281873"
"1.6060210373420392,1.2576758585005507,2.3773762214835,1.2152025947364584","436.71033694985135,279.8511637839112,425.5960259041562,152.8485302738258"
"1.2809642623830642,1.2769540763395961,2.3549935671624365,1.055515121068145","256.96125842642437,269.01977927783616,156.94288338748953,286.8539139918209"
"2.3273243892845334,2.25806621084498,1.5739040102221193,2.284229495481586","323.6066661491896,316.8230056522981,106.11819696446285,324.4892262835919"
"1.977587897665002,1.774530918152068,1.6726935198831423,1.5375615240935805","234.60393879704858,399.048897620077,225.86250543474225,409.45354036951625"
"2.0080176192534376,1.3723024851224452,1.4113428353152544,1.0156907130677006","293.61612074224365,137.96967726075042,202.8075881560819,253.26286328702557"
"2.4697859133742184,2.2368125854259455,1.2521613335567041,1.840979197937835","429.9293261258848,359.59259499593446,126.70665519869884,412.48943830603383"
"1.362627040775119,2.121436813909548,1.7519889155738773,2.2184882459856787","229.79528101009618,369.21362948832126,388.03211955568815,166.75679776862125"
"1.4093017535447587,2.3404808980830114,1.898260667792669,1.7461968686368985","451.6193660689152,382.61938164460645,499.0856104156841,377.04882347873314"
"1.528084217545875,1.8638021357924073,2.114255492049333,2.3000594567367925","108.06431222927029,187.0954796638802,246.99229232617745,424.5405825346589"
"1.3000704034245885,2.3248641823129033,1.0586594071280282,1.2652363033567868","180.50561483225965,195.0684960831615,292.0324595665711,381.8612605200738"
"1.5918796717822716,1.1069135833508246,2.0197645675218325,2.491044649889563","257.2595568581999,269.103773032098,124.08557568940091,299.6553116998542"
"1.5393225405400432,1.790059555914026,1.731327422925984,2.1386452407315346","357.5957795523367,442.14267597997866,481.0466211340986,100.82887151826476"
"1.4190458575177074,2.302555617908254,1.2594172564174535,1.5176898378939259","310.2025655789744,443.4240769847823,237.91342256969946,109.27996147220603"
"2.0586712063452124,2.1021207629236787,1.5737037724884688,1.8960053802005612","472.51593835342624,124.5064042781451,333.3569700407632,360.25741581025636"
"1.8240345511007257,1.4635661449239876,2.2384657572484405,1.5034635282592208","213.73327250630317,476.0301821691335,446.2853930436067,437.59621482255625"
"2.3592186474404517,2.031207258772666,1.8460522209432848,2.102763431556202","113.86498686472768,157.15044778179217,320.3637167284204,422.0409061473141"
"1.265822737868249,1.1160713010911247,1.1766480084235376,1.5852522002763894","351.61876927504926,244.01088066580724,445.52852511609154,436.2118472869691"
"2.138850073505325,2.1047960302613737,1.7224815244736793,2.068320732682424","308.01937816111274,344.71994617252824,451.91603921256024,100.80918047807468"
"1.1086480617673322,2.498861886454348,2.1888859979844266,1.126359077022251","171.09015840186254,415.6876467549832,104.4465059368644,481.1454100289108"
"1.4899988935427517,1.4053904882333044,1.5214969258995856,1.4092990833628496","116.10716882245065,291.5053824695484,466.1903561936675,429.50630274135347"
"2.4370862688620454,1.8194577075467557,1.899904832926787,2.495699767639757","462.74982331213573,198.7328619508506,298.55229064436855,464.70719743274753"
"1.4034407946250491,1.09735174213873,1.8797801543172015,1.669853398017584","171.89408899187492,219.73298403205033,235.7926957607861,139.4890371032174"
"1.3335296139608999,1.8541708385698115,2.2670289111010113,1.0232132696414518","304.27182109147213,207.7941933790483,425.33881333179687,199.42916026178352"
"1.0276772987646292,1.9530898791910862,1.8794991059286392,1.6619391215193853","449.7188844430347,274.88504495698106,116.76024335304817,334.52831197530344"
"1.7490764363545077,1.0933194058975848,1.2661059489618394,1.1363531542250789","321.6509002369902,443.9952174389862,350.1353097446299,116.47810841476436"
"2.087247326192029,1.8958663790327512,1.2144299031361263,1.1051604014431837","432.14189473280857,181.10730852738413,145.1007190402169,161.17618854257486"
"2.1259555240388384,1.1408422205367597,2.3568398935789334,1.8185236791356019","259.5006933267267,268.5698826861409,273.70808003334446,234.0265476011043"
"1.6024006488233458,2.4798442509162166,2.249277125715626,1.7409038862958852","153.1733471573536,154.10052281588915,188.57792631383325,330.1035878866909"
"1.3590076855893487,1.256644319288244,1.2635802083193615,1.6032856614479973","163.9404353607699,254.50811546374536,226.93225531312925,354.18977917449644"
"1.5421657723202449,1.6496050201454007,2.2258534980364857,2.246841038746502","446.816919797257,442.0688676241881,117.85033397925311,468.48831655394383"
"1.3241698274342566,2.018191489093582,1.1187475535729183,1.6124079302801255","277.39220927949134,476.6901278632108,321.3746085424516,443.22485748353955"
"1.39631736071505,1.282151187546695,1.5236890184070475,2.204353247221852","149.77531471020455,460.6236792180309,298.11199323649055,374.6440205260899"
"1.0787150454506722,1.383931383616286,1.3229477468632254,2.484508688768064","172.1207897527889,190.14944288801735,364.4796449397959,192.70775479557133"
"2.461416638368285,1.8430796997370895,1.8096659182780848,2.125516302176499","320.08825998748114,309.1449271917,481.069849036095,261.10364597597635"
"1.3779980321652312,1.1036367184486857,2.489657883718907,1.6874484585338334","125.88272765758455,298.14344243289094,406.55447144556337,354.4227715547154"
"1.3821127326738867,1.8463408927858158,1.9627967109723066,1.7968005385886587","437.4881361355369,409.1244520052908,470.38320663040207,421.02386600818284"
"1.0553370587941941,1.3542926544685345,1.38206962022406,1.8830077461521382","311.06613624904367,407.7354492041876,206.30426378221568,244.1635810284525"
"1.2225880351633607,1.9151173237296935,1.8933444734394516,2.260449635128646","355.2070355933073,497.32518159643126,194.87902506870034,355.5634909463446"
"2.397254947947652,1.5701168082912562,2.318400162597728,2.3537300537335746","333.85517347121043,411.0782817473806,455.56987785501445,371.33007734633"
"1.5621695668763997,1.8757430644700939,1.869904667690779,1.2241529696658215","467.8468985787177,309.84208597327336,104.8804803272918,475.3394465593919"
"2.096224915958148,1.2786750539128746,1.6383247315464202,2.1118500754306107","197.98570047081824,317.2856016946462,305.15369111210384,184.12644949313295"
"1.1266931163092946,1.6540134516275355,1.3288829244334575,1.0025735682756858","406.31982498844724,395.53877471177,299.0956450122001,124.92313509865932"
"1.223297391564775,2.3052040932304263,1.9633698613908517,1.7420239628628784","191.89002092262444,480.04168517611845,320.2186597472298,140.88594524795013"
"2.1588232526480864,1.4256105925670792,2.086546105987022,1.9569860720914891","183.678591593867,382.27136985258056,424.80791048682335,112.82459117941417"
"2.4283333442046477,1.1285652812770683,1.213499879759797,1.1167100029220842","182.6689657281334,225.48311281956353,471.6869875822777,346.01739143491136"
"1.7255356025113069,1.6181086754300025,1.2383510648778429,1.0320564345124723","169.77024666381774,129.50677573455,198.54629076623107,247.0550396413417"
"2.0482256114613886,2.0737511385732486,1.9782090408421382,1.91548421672212","188.0542284072693,151.96805959310558,222.17149963278223,302.3949481645916"
"1.5769679093613285,1.181467401413733,1.1325899239687276,2.4084076995940027","254.42509592450108,397.8743848433992,221.36189925902613,336.67679888301564"
"1.4235600040815781,1.1717193160410448,1.688110819931046,2.127334211617745","421.80722751163205,130.40362882863027,132.49795337289208,356.4078065840149"
"2.3253675815678143,2.191807666807019,1.887536941367181,1.8849052078257291","246.86317967494583,330.52250663605537,190.01844980064018,190.3122741545177"
"1.8618087938421897,1.9129588149356982,1.1638135467345956,1.965538926713172","334.12403837697786,256.8045065186273,188.92305119765854,167.46277907943772"
"1.0850350351870852,2.146316301799841,1.425940705999513,2.149535305135094","191.91782915223263,215.07665710620083,415.32527312252273,158.32200965269806"
"2.4418811316257667,1.6490261766927143,1.0860829236594394,1.7156691341213752","327.10806639473793,450.0874920072918,366.05509727407957,236.33931945043832"
"2.4391788992034473,1.9714391692369955,2.254561187275754,1.7680721735860647","376.5034926097967,104.76641433475163,244.0820611442581,120.50959473785227"
"1.1652074518868487,1.1351357232840005,1.5363684334208905,1.4406662185964438","383.9506417319405,221.67982238082038,145.59637765373682,168.13914054273513"
"1.9539924164364595,2.3455159568865747,1.1398236754149078,1.7766701975732584","294.5436001157897,304.36518030366057,429.43198714951416,406.46504581589755"
"2.085430975657549,1.4239699898367966,1.5784106992245752,1.9307812756391696","433.27583806278176,383.9634433392154,318.8648637831161,191.6637650427221"
"2.4249066146235116,2.1156141709320844,1.1768526350048267,1.6669661804709535","289.56577843650985,282.9911799934436,194.5412539336179,189.4623622843177"
"1.5318437321274854,1.4534217555645244,1.566486541112754,1.5993828470418279","167.1345034018694,123.68754030467413,208.01752617252583,205.91907737500637"
"2.361139060800912,2.0227589945080418,2.075058951204913,2.483059374725693","405.3658732246359,310.77228729090257,488.75355692696405,484.7033454450791"
"1.05415401621336,1.3671520801584571,1.8165302466349469,2.1266417705730927","274.6837100622381,150.64202155075225,333.571426896492,338.9857463091608"
"1.8792232388634933,2.4975283767732965,2.3094737179075313,1.8144215106495445","355.0413910264707,440.12955612324447,428.92195393835067,110.08966552542852"
"1.626127339166731,1.5876293785217583,1.447142180106309,1.07552949178363","186.01954322556563,398.63631959617686,324.30106202083834,389.7160084646174"
"1.1451784243001315,1.1136572439487569,2.4850325781056646,2.0571138974610643","239.07072166931346,273.69947550415907,228.98792677139318,238.47325503813806"
"1.4704020054547051,2.1617743360162542,1.4425568746061803,1.4353772268812275","301.1545208855232,401.5397225643722,438.29561361782805,311.5653829538725"
"1.8306800979391975,1.5472940728716267,1.8921822032731253,1.3966088262230683","101.88900886207159,455.98830947436005,359.5189963273678,458.94818702430456"
"1.7102536707152323,1.8071134407652152,1.3973641554360947,1.197220172838614","147.2826581351074,114.48759659308188,152.54602023819612,234.29239687117666"
"2.3141385314939438,1.714645092255218,2.1115759006798642,1.466500060679086","269.965161501888,428.65094534258486,415.88650398707915,391.3388091750417"
"2.2985478465448064,1.7052649200217713,1.1782021888547227,1.8153577489084773","221.94439421658205,211.39747003645866,319.89973692018964,388.99790013881466"
"1.5410399440233096,1.6779035008834353,1.8569834973312405,1.4906226496730521","357.7124803642123,313.9554213890617,201.83278802353885,289.45064817984223"
"1.180070848478943,1.507509373647344,1.5300848228825203,2.459462360990277","128.16807157355728,111.80846341237603,108.5219505074619,369.29078223248234"
"1.558731861275013,1.0177419290284244,1.9567733360267452,1.0598615403392349","279.3244036346703,324.8444733206858,428.0142707866779,305.65872500754347"
"1.0811105365621188,1.620632466830618,2.144562894840725,1.022643567699805","437.1135704738281,391.7888225060749,419.624677750642,436.99173914264907"
"1.386870244841363,2.0396804824190755,1.8645838577074465,1.9469300883143794","458.8452198091883,184.48661163608784,366.2779155480445,436.60384314471116"
"1.0027209445486995,2.0200621407852974,1.1491440556899206,1.9257848603313175","245.1231200980117,268.66889685424167,286.5464831018428,294.62569823489156"
"1.2470441581330214,1.5777182261006033,2.296137346309607,1.540618200484018","283.24208490386553,444.5782534390406,361.8620240161955,369.79335054594145"
"2.108151308646816,2.121837354915618,1.5022046766588129,1.7272396290552012","382.49028788645154,272.4955342688015,435.7948319764653,112.86973971989536"
"1.528987581947366,1.2796282550756164,1.7650789410215588,2.3014945991029627","216.86282595787333,400.4372028889375,212.1547919327949,210.68882293079537"
"2.265596761667873,2.0485794538730477,1.0744516706852796,2.1932399638195297","173.57361905725406,244.8561888552873,110.0680526986339,135.19397818140155"
"1.6923860944259475,1.6966491521967961,1.771926153676403,1.041926817046723","403.8958966901673,287.24400909791746,461.4788376862345,421.51507444752497"
"1.575569755583742,2.0193647656988096,2.3910384314249926,1.0632399227434404","159.3640214014033,295.8835526198337,211.62436011694547,138.0051192227801"
"1.3376008956218872,1.5314534369940076,1.2029220145662205,1.1330316698814697","145.1458183968964,120.36850039794498,201.85570712458843,256.66809201955147"
"1.6409297844828046,1.003132043647959,1.5778555652947408,1.5630049578096312","382.15570830189813,372.1471609714099,237.40961393941697,387.88655666035885"
"2.1009136962556187,1.6783740773494087,1.2168031661942367,1.9804468650224283","479.4454470629888,358.3446411103691,189.79861814050014,115.42090717307643"
"1.5480862279281595,2.210123384816322,1.1906801800048723,1.9478582117089809","222.6653570646082,218.7177553197775,157.3308674112016,229.18544118953736"
"1.5642631463381185,2.4616433604513794,2.0323363273663784,1.4091010664539119","206.28357434791548,414.1915809547081,346.59369064574093,250.07586855546086"
"1.3420823261385604,2.44601000542134,2.019753589054595,2.3595446305659413","177.61173383107501,126.25722102612089,160.77742928144133,459.17307275566344"
"1.3260241303832725,1.3411709560433325,1.2368267640457358,1.9561272874414555","435.1807330523443,404.73925429321105,221.53431096581824,290.88999292650544"
"1.1363468096977125,2.1766754475405774,1.8420087549883655,1.0514870953392124","239.05282542871103,253.3349152600361,438.1137343754522,293.5788561883097"
"1.8674697601585497,2.0462445053434832,1.9301460248994304,1.8766071917629616","135.1752854492442,355.40565724047747,492.36722909213813,481.19469215223626"
"1.8071514779897577,2.1999140147164047,1.2381345543232127,1.9428876328482458","475.6815195488219,387.97709335806417,447.092304934793,182.98774195895152"
"2.0853419203939394,1.191219168283576,1.1018002506848128,2.1303107634741605","419.5159077756796,433.4245697210185,337.0238627918531,115.85985838633745"
"2.3962401170479155,1.0919515267040292,2.4007656633529515,1.4582661667110526","428.25966461102274,251.6955076070983,182.74884155838066,217.29449234994263"
"1.2488906739369874,2.4599111227021755,1.9258567845499648,1.9238382521353476","452.575668170775,172.55075631439541,343.9941019886194,430.12068616657507"
"1.6598887198292218,2.1554099773148776,1.0390751604852964,2.439182065117879","390.7666353156193,463.1041561269885,483.82836123318305,269.2353646019731"
"1.2265520097650695,1.970096090802743,1.8774573300756379,2.001744481360999","170.42652395120552,398.11425757897945,298.00113486189645,498.106495324894"
"1.2583912662317867,1.5636373752445487,1.612085203442744,1.2274971203847342","458.4034646403364,190.8735537121835,239.20608601096603,367.62771704021156"
"2.2162167343535217,2.399325661401398,1.1936719245952068,1.1401224352640127","377.98698719502374,380.2079172821608,215.10282418061098,209.8734900495928"
"2.1392839540113395,2.159655981704968,1.1780201240791721,2.0263666259543727","439.97406840647733,294.0075190017791,129.26171450338802,232.88872270408717"
"1.9551489847670704,1.605711605820489,1.7128220787127506,1.374462425509086","308.2079931443136,135.5860013354094,232.71078264327326,490.3253955105767"
"1.9009431650174702,1.554922574114508,1.8123352532404589,1.8228990899796944","484.7603779670585,369.3588996658276,225.41353005510763,291.31029020265305"
"1.07472607299579,1.6626019496654985,1.393932592442379,1.668274948641673","181.46183216196619,403.96764782930546,451.47905290941696,370.40894227129854"
"2.3879951737230476,2.1856282852396545,1.2067916926489195,1.0057707824557651","337.66157208922516,296.5269260418465,235.9161324211802,154.0029234780849"
"1.035335594971977,2.410492235516706,1.04680888971898,1.085787509123833","348.75575873031886,498.9337747019852,411.92812985213794,392.94433549734396"
"1.984103968599361,2.0961874565076375,1.189370132834619,2.1786540779104393","241.8197033007122,302.80822571214287,361.95413198509254,160.88589034184622"
"1.4910086917240686,2.307923293064573,1.8210581991509998,1.6105173711829373","214.87015438748432,114.62326007974491,490.368248634273,323.3497930349184"
"1.8124743867890785,1.3648844209262478,1.2822110634897128,1.552920178664322","424.9024893021025,354.3794049857968,492.5747358064136,276.39547840907017"
"2.46873327622681,1.2144307182129863,2.1369784734515633,2.4504582716744494","357.32319923258746,192.67223685714697,276.4954245773491,262.38554105811596"
"2.3418310562365443,1.8604125693703866,2.125737226786458,2.012813808016607","120.9527974279338,224.64520539132621,485.14950680946765,251.94971822885717"
"1.6174895441621386,2.374787694644361,1.4733946586887394,2.1649166921686414","311.43384950213647,354.28504886544306,355.4839727977122,133.1123383969324"
"1.494022965390589,1.8268211185323957,1.3198172217954716,2.1869645573202474","441.82862015524626,241.5993676056857,211.94623296346182,146.62796642152313"
"1.8443772314673228,1.2778824020828088,2.053971799426311,1.032137699047083","293.8874403069931,422.52130215981174,137.32937534501735,188.15181912496394"
"1.8456387505664371,2.2581393174914863,1.7672854941569098,2.3098464804684555","391.1833070930003,112.86167714735585,127.30915161040582,153.02756728973762"
"1.8267042548918073,1.36379178897783,2.1885412541693214,2.1784433458286196","289.2328947588385,364.8990335760716,132.9148493482025,483.03840930932625"
"1.6075856828957873,2.4923229873573787,1.4611541892592181,2.2506419614802304","435.0398814289281,294.7902779969518,402.09508497643947,353.8486215154777"
"1.3896992862551991,1.114267558138662,1.4507307059807815,1.649672801491654","488.16779537452476,295.0709373199259,156.77517288955943,240.70084204100007"
"1.6581200425172735,1.5970290095146364,1.927121038333062,1.070105518011861","315.8120862971072,393.4282158964588,165.22294249055608,238.8521378893355"
"1.1365179086021358,1.3364853892495774,1.462607623795664,2.3473776368822077","339.02099336278957,497.18325487790537,265.98968653015606,310.84809691732937"
"1.3926927588233182,1.8166704083937475,1.2338857020760454,1.3520937184124477","486.4814684038409,303.7090169691161,119.56533535933964,157.46368413566285"
"2.4754920085469703,2.1253605687771433,1.6424527744703186,1.651120692617094","428.30560616871765,188.98042853084007,242.1277343425281,481.9757329330165"
"1.2805052758157158,2.1295088007836185,1.4350324276598478,1.8978860319810194","309.3572821775374,369.2628588711439,438.4504716617029,264.1071223844207"
"1.5923247287820486,2.4801794688179366,1.1768477541140379,1.936853083973644","259.2515939181752,435.72989239210415,288.90348170642596,138.28412460642028"
"1.0093092728237507,2.3179478427745477,1.447506324414011,2.2337189482549267","385.13125690538794,122.33694766914303,412.02160687707436,321.32859137252854"
